Image url,Title,Design Type,Published,Published date,Total Applies,Total Usages
https://template.canva.com/EAFxZm8sACA/3/0/225w-ofBntJHPY7c.jpg,Fitness Training Instagram Story,Your Story,Profile Only,"Oct 16, 2023",0,0
https://template.canva.com/EAFxQBRqJ8Y/2/0/320w-HgPgg9A4ldE.jpg,Orange and Brown Modern Animated Pizza Halloween Sale Instagram Post,1080 x 1350 px,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxP6-8rEY/2/0/225w-NXcZKLqNcAg.jpg,Green Yellow Modern Beverage Winter Sale Your Story,Your Story,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxP8zHcSg/3/0/400w-tXSw_i-IuIY.jpg,Orange Purple Modern Animated Video Burger Halloween Sale Twitter Post,Twitter Post,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxP9QbDks/2/0/400w-szsdKdiofVs.jpg,Red and White Cheerful Hello Winter Animated Card,Card (148 x 105 mm),Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxPsm1RcM/2/0/320w-h4FYGOSJL_Q.jpg,Red Green Modern Animated Video Special Burger Instagram Post,1080 x 1350 px,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxPqjpJn0/2/0/320w-zqO1_3M9AwE.jpg,Red and Yellow Modern Chicken Delicious Menu Instagram Post,1080 x 1350 px,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxPv8ftBo/2/0/400w-9EwEG5Lsx9s.jpg,Orange and Purple Playful Animated Video Halloween Sale Billboard,Billboard (Landscape),Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxPiFx_nA/2/0/320w-2ajrvY27Ip4.jpg,Red Modern Animated Video Merry Christmas Sale Instagram Post,1080 x 1350 px,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxPqtTjnw/3/0/320w-b3BXz3ZQiMA.jpg,Orange and Purple Animated Halloween 11.11 Sale Instagram Post,1080 x 1350 px,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxPkxUQ9Q/1/0/320w-Lf72HkXIfHc.jpg,Purple and Orange Halloween Sale Instagram Post,1080 x 1350 px,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxK4b-o3E/1/0/400w-WrnyClckaYI.jpg,Black and White Modern New Collection Instagram Post,Instagram Post,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxK4fypfo/1/0/225w-scGcJ3tPtME.jpg,Red Modern New Shoes Your Story,Your Story,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxKnZlxo0/1/0/225w-9-Reg3lVlvY.jpg,Purple Modern Hiring Your Story,Your Story,Profile Only,"Oct 14, 2023",0,0
https://template.canva.com/EAFxKNANoWo/2/0/320w-IIt_kHyREJs.jpg,Gold Purple Playful Animated Video Happy Birthday Instagram Post,1080 x 1350 px,Profile Only,"Oct 13, 2023",0,0
https://template.canva.com/EAFxJ-4BQpA/2/0/400w-q28hZfSjcoo.jpg,Blue Modern Travel Agency Promotion Billboard,Billboard (Landscape),Profile Only,"Oct 13, 2023",0,0
https://template.canva.com/EAFxISnEn0g/2/0/400w-eMj3h0xpULY.jpg,Professional Event Organizer Facebook Post,Facebook Post,Profile Only,"Oct 13, 2023",0,0
https://template.canva.com/EAFxIfNNka8/4/0/225w-6U2G7vR1Rww.jpg,Professional Event Organizer Instagram Story,Your Story,Profile Only,"Oct 13, 2023",0,0
https://template.canva.com/EAFxFqbCfmg/1/0/400w-cac_FynTXqY.jpg,Purple and Yellow Halloween Sale Facebook Ad,Facebook Ad,Profile Only,"Oct 13, 2023",1,0
https://template.canva.com/EAFxFIyTxiE/2/0/400w-1YYV8x-9TCg.jpg,White Modern Animated Video Hello Winter Billboard,Billboard (Landscape),Profile Only,"Oct 13, 2023",0,0
https://template.canva.com/EAFxFFjRycA/2/0/400w-jQMLo534NL4.jpg,White modern hello november animated billboard,Billboard (Landscape),Profile Only,"Oct 13, 2023",0,0
https://template.canva.com/EAFxFLlld1w/1/0/400w-HZ5UV6ffXsU.jpg,Grey Modern Carwash Express Facebook App Ad,Facebook App,Profile Only,"Oct 13, 2023",0,0
